Location,Year,Latitude,Longitude,Month In,Day In,White Perch,American Eel,Gaspereau,Banded Killifish,Mummichog,4 Spine Stickleback,3 Spine Stickleback,Brook Trout,Brook Stickleback,9 Spine Stickleback,Rainbow Smelt,Rainbow Trout,New Longitude,Month as a Number
Lake of Shining Waters,2010,46.4934,-63.38603,August,11,27,0,696,221,0,0,0,0,0,0,0,0,-63.38603,8
Lake of Shining Waters,2010,46.4934,-63.38603,August,11,0,3,0,3,0,1,0,0,0,0,0,0,-63.38603,8
Lake of Shining Waters,2010,46.49338,-63.38432,August,11,6,0,5,28,0,0,0,0,0,0,0,0,-63.38432,8
Lake of Shining Waters,2010,46.49338,-63.38432,August,11,0,0,0,17,1,0,0,0,0,0,0,0,-63.38432,8
Lake of Shining Waters,2010,46.49396,-63.38427,August,11,58,2,14,154,0,0,0,0,0,0,0,0,-63.38427,8
Lake of Shining Waters,2010,46.49396,-63.38427,August,11,0,0,0,0,0,5,0,0,0,0,0,0,-63.38427,8
Lake of Shining Waters,2010,46.49511,-63.38597,August,11,296,8,2,1049,1,0,0,0,0,0,0,0,-63.38597,8
Lake of Shining Waters,2010,46.49511,-63.38597,August,11,0,0,0,0,0,8,0,0,0,0,0,0,-63.38597,8
Lake of Shining Waters,2010,46.49557,-63.38695,August,11,217,2,14,351,0,0,0,0,0,0,0,0,-63.38695,8
Lake of Shining Waters,2010,46.49557,-63.38695,August,11,0,0,0,1,0,0,0,0,0,0,0,0,-63.38695,8
Long Pond,2010,46.41562,-63.09152,August,16,16,0,2,0,0,0,0,0,0,0,0,0,-63.09152,8
Long Pond,2010,46.41562,-63.09152,August,16,0,0,0,1,0,0,0,0,0,0,0,0,-63.09152,8
Long Pond,2010,46.41484,-63.09233,August,16,67,1,1,1,0,0,0,0,0,0,0,0,-63.09233,8
Long Pond,2010,46.41484,-63.09233,August,16,0,0,0,9,0,2,0,0,0,0,0,0,-63.09233,8
